cluster,n_patients,adherence_probability,avg_annual_drug_cost,avg_time_to_dropout_days,downstream_dropout_1yr,downstream_adherent_1yr,downstream_dropout_2yr,downstream_adherent_2yr,downstream_dropout_3yr,downstream_adherent_3yr,downstream_dropout_4yr,downstream_adherent_4yr,downstream_dropout_5yr,downstream_adherent_5yr,downstream_dropout_6yr,downstream_adherent_6yr,downstream_dropout_7yr,downstream_adherent_7yr,downstream_dropout_8yr,downstream_adherent_8yr,downstream_dropout_9yr,downstream_adherent_9yr,downstream_dropout_10yr,downstream_adherent_10yr,expected_drug_cost_1yr,gross_benefit_1yr,intervention_cost_1yr,net_benefit_1yr,roi_1yr,expected_drug_cost_2yr,gross_benefit_2yr,intervention_cost_2yr,net_benefit_2yr,roi_2yr,expected_drug_cost_3yr,gross_benefit_3yr,intervention_cost_3yr,net_benefit_3yr,roi_3yr,expected_drug_cost_4yr,gross_benefit_4yr,intervention_cost_4yr,net_benefit_4yr,roi_4yr,expected_drug_cost_5yr,gross_benefit_5yr,intervention_cost_5yr,net_benefit_5yr,roi_5yr,expected_drug_cost_6yr,gross_benefit_6yr,intervention_cost_6yr,net_benefit_6yr,roi_6yr,expected_drug_cost_7yr,gross_benefit_7yr,intervention_cost_7yr,net_benefit_7yr,roi_7yr,expected_drug_cost_8yr,gross_benefit_8yr,intervention_cost_8yr,net_benefit_8yr,roi_8yr,expected_drug_cost_9yr,gross_benefit_9yr,intervention_cost_9yr,net_benefit_9yr,roi_9yr,expected_drug_cost_10yr,gross_benefit_10yr,intervention_cost_10yr,net_benefit_10yr,roi_10yr,break_even_adherence_rate,intervention_cost_threshold_5yr,time_to_positive_roi_years,payer_type
0,1902,0.20767613038906416,7065.793901156677,107.87592008412197,8383.300000000003,8257.641999999996,16595.473345533068,16263.007768446607,24640.531353821207,24023.63466158963,32522.589747135728,31546.861643493245,40245.686615265404,38839.828289541285,47813.66552721616,45909.47539684781,55230.10670965357,52762.54681480948,62498.29313506869,59405.59219114809,69621.20144067418,65844.97039395742,76601.5100072077,72086.85342194975,3122.01,26.1,500.0,-3595.91,-1.1518,4546.66,69.05,500.0,-4977.62,-1.0948,5929.82,128.11,500.0,-6301.71,-1.0627,7272.7,202.64,500.0,-7570.07,-1.0409,8576.46,291.96,500.0,-8784.5,-1.0243,9842.25,395.45,500.0,-9946.8,-1.0106,11071.17,512.45,500.0,-11058.72,-0.9989,12264.3,642.28,500.0,-12122.02,-0.9884,13422.68,784.23,500.0,-13138.45,-0.9788,14547.32,937.59,500.0,-14109.73,-0.9699,5.026,-8284.5,,current
1,2104,0.30846007604562736,7575.156844106464,127.46340304182509,10785.338830798479,9109.408998098856,21677.921650439293,17990.217052900498,32673.262834934114,26648.994159911483,43761.65328863449,35091.314786350005,54929.464084103915,43322.01556811296,66160.22511571764,51345.394497152185,77435.51394497191,59165.36396393832,88735.68446731717,66785.56747271892,100040.46041028216,74209.46782084198,111329.41481466466,81440.4129213467,4166.0,516.96,500.0,-4149.05,-0.9959,6434.58,1137.51,500.0,-5797.07,-0.9009,8637.08,1858.25,500.0,-7278.83,-0.8427,10775.43,2674.45,500.0,-8600.98,-0.7982,12851.5,3580.43,500.0,-9771.07,-0.7603,14867.1,4569.78,500.0,-10797.32,-0.7263,16823.99,5635.61,500.0,-11688.38,-0.6947,18723.89,6770.73,500.0,-12453.16,-0.6651,20568.45,7967.83,500.0,-13100.62,-0.6369,22359.29,9219.56,500.0,-13639.72,-0.61,0.6526,-9271.07,,current
2,2383,0.853545950482585,10490.283172471673,177.87662610155266,9728.759966428872,8650.86694334872,19450.017791353803,17059.735613982622,29162.63942671226,25233.71409509668,38862.64847774477,33179.34382845554,48543.85277640497,40902.71867175841,58198.38230220928,48409.57757828184,67817.14826416255,55705.3764572248,77390.23233686214,62795.343628658564,86907.21424757098,69684.52237635403,96357.4451500388,76377.80337731975,9702.65,920.03,500.0,-9282.62,-0.9567,18395.79,2040.22,500.0,-16855.58,-0.9163,26835.74,3353.52,500.0,-23982.22,-0.8937,35029.86,4850.96,500.0,-30678.9,-0.8758,42985.32,6522.06,500.0,-36963.26,-0.8599,50709.07,8355.19,500.0,-42853.87,-0.8451,58207.85,10337.95,500.0,-48369.9,-0.831,65488.22,12457.41,500.0,-53530.81,-0.8174,72556.54,14700.36,500.0,-58356.19,-0.8043,79418.99,17053.54,500.0,-62865.45,-0.7916,1.3729,-36463.26,,current
3,1177,0.40611724723874254,5850.0,143.85046728971963,10507.15165675446,9148.321971112999,21097.20041392053,18069.830276519195,31766.24912907934,26771.031973536326,42505.83272673216,35257.40243932342,53304.02562481085,43533.65420866332,64146.36670608782,51603.9448061817,75016.62852411746,59472.03645703199,85897.453556805,67141.41790695583,96770.87704069944,74615.39647166844,107618.75313601152,81897.16675614107,3745.01,551.84,500.0,-3693.17,-0.9862,6051.6,1229.47,500.0,-5322.13,-0.8795,8291.01,2028.64,500.0,-6762.36,-0.8156,10465.19,2943.71,500.0,-8021.47,-0.7665,12576.04,3967.92,500.0,-9108.13,-0.7242,14625.42,5093.69,500.0,-10031.72,-0.6859,16615.1,6312.93,500.0,-10802.17,-0.6501,18546.83,7617.15,500.0,-11429.68,-0.6163,20422.3,8997.72,500.0,-11924.57,-0.5839,22243.14,10445.98,500.0,-12297.16,-0.5529,0.5987,-8608.13,,current
0,1902,0.20767613038906416,3804.65825446898,107.87592008412197,8383.300000000003,8257.641999999996,16595.473345533068,16263.007768446607,24640.531353821207,24023.63466158963,32522.589747135728,31546.861643493245,40245.686615265404,38839.828289541285,47813.66552721616,45909.47539684781,55230.10670965357,52762.54681480948,62498.29313506869,59405.59219114809,69621.20144067418,65844.97039395742,76601.5100072077,72086.85342194975,1681.08,26.1,500.0,-2154.98,-1.2819,2448.2,69.05,500.0,-2879.16,-1.176,3192.98,128.11,500.0,-3564.87,-1.1165,3916.07,202.64,500.0,-4213.43,-1.0759,4618.1,291.96,500.0,-4826.13,-1.045,5299.67,395.45,500.0,-5404.22,-1.0197,5961.4,512.45,500.0,-5948.95,-0.9979,6603.86,642.28,500.0,-6461.58,-0.9785,7227.6,784.23,500.0,-6943.36,-0.9607,7833.17,937.59,500.0,-7395.58,-0.9441,2.7063,-4326.13,,medicare_2028
1,2104,0.30846007604562736,4078.930608365019,127.46340304182509,10785.338830798479,9109.408998098856,21677.921650439293,17990.217052900498,32673.262834934114,26648.994159911483,43761.65328863449,35091.314786350005,54929.464084103915,43322.01556811296,66160.22511571764,51345.394497152185,77435.51394497191,59165.36396393832,88735.68446731717,66785.56747271892,100040.46041028216,74209.46782084198,111329.41481466466,81440.4129213467,2243.23,516.96,500.0,-2226.28,-0.9924,3464.77,1137.51,500.0,-2827.26,-0.816,4650.74,1858.25,500.0,-3292.49,-0.708,5802.16,2674.45,500.0,-3627.7,-0.6252,6920.04,3580.43,500.0,-3839.6,-0.5549,8005.36,4569.78,500.0,-3935.58,-0.4916,9059.07,5635.61,500.0,-3923.46,-0.4331,10082.1,6770.73,500.0,-3811.36,-0.378,11075.32,7967.83,500.0,-3607.49,-0.3257,12039.62,9219.56,500.0,-3320.05,-0.2758,0.3514,-3339.6,,medicare_2028
2,2383,0.853545950482585,5648.809903483005,177.87662610155266,9728.759966428872,8650.86694334872,19450.017791353803,17059.735613982622,29162.63942671226,25233.71409509668,38862.64847774477,33179.34382845554,48543.85277640497,40902.71867175841,58198.38230220928,48409.57757828184,67817.14826416255,55705.3764572248,77390.23233686214,62795.343628658564,86907.21424757098,69684.52237635403,96357.4451500388,76377.80337731975,5224.69,920.03,500.0,-4804.65,-0.9196,9905.77,2040.22,500.0,-8365.56,-0.8445,14450.52,3353.52,500.0,-11597.0,-0.8025,18862.89,4850.96,500.0,-14511.93,-0.7693,23146.75,6522.06,500.0,-17124.69,-0.7398,27305.83,8355.19,500.0,-19450.64,-0.7123,31343.78,10337.95,500.0,-21505.82,-0.6861,35264.11,12457.41,500.0,-23306.7,-0.6609,39070.26,14700.36,500.0,-24869.9,-0.6365,42765.56,17053.54,500.0,-26212.01,-0.6129,0.7393,-16624.69,,medicare_2028
3,1177,0.40611724723874254,3150.0,143.85046728971963,10507.15165675446,9148.321971112999,21097.20041392053,18069.830276519195,31766.24912907934,26771.031973536326,42505.83272673216,35257.40243932342,53304.02562481085,43533.65420866332,64146.36670608782,51603.9448061817,75016.62852411746,59472.03645703199,85897.453556805,67141.41790695583,96770.87704069944,74615.39647166844,107618.75313601152,81897.16675614107,2016.54,551.84,500.0,-1964.7,-0.9743,3258.55,1229.47,500.0,-2529.09,-0.7761,4464.39,2028.64,500.0,-2935.74,-0.6576,5635.1,2943.71,500.0,-3191.39,-0.5663,6771.71,3967.92,500.0,-3303.8,-0.4879,7875.22,5093.69,500.0,-3281.53,-0.4167,8946.59,6312.93,500.0,-3133.66,-0.3503,9986.75,7617.15,500.0,-2869.6,-0.2873,10996.62,8997.72,500.0,-2498.9,-0.2272,11977.07,10445.98,500.0,-2031.1,-0.1696,0.3224,-2803.8,,medicare_2028
0,1902,0.20767613038906416,1129.758149316509,107.87592008412197,8383.300000000003,8257.641999999996,16595.473345533068,16263.007768446607,24640.531353821207,24023.63466158963,32522.589747135728,31546.861643493245,40245.686615265404,38839.828289541285,47813.66552721616,45909.47539684781,55230.10670965357,52762.54681480948,62498.29313506869,59405.59219114809,69621.20144067418,65844.97039395742,76601.5100072077,72086.85342194975,499.18,26.1,500.0,-973.09,-1.9494,726.97,69.05,500.0,-1157.93,-1.5928,948.13,128.11,500.0,-1320.01,-1.3922,1162.84,202.64,500.0,-1460.21,-1.2557,1371.3,291.96,500.0,-1579.34,-1.1517,1573.69,395.45,500.0,-1678.23,-1.0664,1770.18,512.45,500.0,-1757.73,-0.993,1960.95,642.28,500.0,-1818.67,-0.9274,2146.17,784.23,500.0,-1861.93,-0.8676,2325.99,937.59,500.0,-1888.4,-0.8119,0.8036,-1079.34,,post_generic
1,2104,0.30846007604562736,1225.5228136882129,127.46340304182509,10785.338830798479,9109.408998098856,21677.921650439293,17990.217052900498,32673.262834934114,26648.994159911483,43761.65328863449,35091.314786350005,54929.464084103915,43322.01556811296,66160.22511571764,51345.394497152185,77435.51394497191,59165.36396393832,88735.68446731717,66785.56747271892,100040.46041028216,74209.46782084198,111329.41481466466,81440.4129213467,673.98,516.96,500.0,-657.03,-0.9748,1041.0,1137.51,500.0,-403.49,-0.3876,1397.32,1858.25,500.0,-39.08,-0.028,1743.27,2674.45,500.0,431.18,0.2473,2079.14,3580.43,500.0,1001.3,0.4816,2405.23,4569.78,500.0,1664.56,0.6921,2721.82,5635.61,500.0,2413.8,0.8868,3029.19,6770.73,500.0,3241.55,1.0701,3327.6,7967.83,500.0,4140.23,1.2442,3617.33,9219.56,500.0,5102.24,1.4105,0.1056,1501.3,3.102,post_generic
