cluster,payer_type,horizon_years,gross_benefit,expected_drug_cost,intervention_cost,net_benefit,roi
0,current,1,26.1,3122.01,500.0,-3595.91,-1.1518
0,current,2,69.05,4546.66,500.0,-4977.62,-1.0948
0,current,3,128.11,5929.82,500.0,-6301.71,-1.0627
0,current,4,202.64,7272.7,500.0,-7570.07,-1.0409
0,current,5,291.96,8576.46,500.0,-8784.5,-1.0243
0,current,6,395.45,9842.25,500.0,-9946.8,-1.0106
0,current,7,512.45,11071.17,500.0,-11058.72,-0.9989
0,current,8,642.28,12264.3,500.0,-12122.02,-0.9884
0,current,9,784.23,13422.68,500.0,-13138.45,-0.9788
0,current,10,937.59,14547.32,500.0,-14109.73,-0.9699
1,current,1,516.96,4166.0,500.0,-4149.05,-0.9959
1,current,2,1137.51,6434.58,500.0,-5797.07,-0.9009
1,current,3,1858.25,8637.08,500.0,-7278.83,-0.8427
1,current,4,2674.45,10775.43,500.0,-8600.98,-0.7982
1,current,5,3580.43,12851.5,500.0,-9771.07,-0.7603
1,current,6,4569.78,14867.1,500.0,-10797.32,-0.7263
1,current,7,5635.61,16823.99,500.0,-11688.38,-0.6947
1,current,8,6770.73,18723.89,500.0,-12453.16,-0.6651
1,current,9,7967.83,20568.45,500.0,-13100.62,-0.6369
1,current,10,9219.56,22359.29,500.0,-13639.72,-0.61
2,current,1,920.03,9702.65,500.0,-9282.62,-0.9567
2,current,2,2040.22,18395.79,500.0,-16855.58,-0.9163
2,current,3,3353.52,26835.74,500.0,-23982.22,-0.8937
2,current,4,4850.96,35029.86,500.0,-30678.9,-0.8758
2,current,5,6522.06,42985.32,500.0,-36963.26,-0.8599
2,current,6,8355.19,50709.07,500.0,-42853.87,-0.8451
2,current,7,10337.95,58207.85,500.0,-48369.9,-0.831
2,current,8,12457.41,65488.22,500.0,-53530.81,-0.8174
2,current,9,14700.36,72556.54,500.0,-58356.19,-0.8043
2,current,10,17053.54,79418.99,500.0,-62865.45,-0.7916
3,current,1,551.84,3745.01,500.0,-3693.17,-0.9862
3,current,2,1229.47,6051.6,500.0,-5322.13,-0.8795
3,current,3,2028.64,8291.01,500.0,-6762.36,-0.8156
3,current,4,2943.71,10465.19,500.0,-8021.47,-0.7665
3,current,5,3967.92,12576.04,500.0,-9108.13,-0.7242
3,current,6,5093.69,14625.42,500.0,-10031.72,-0.6859
3,current,7,6312.93,16615.1,500.0,-10802.17,-0.6501
3,current,8,7617.15,18546.83,500.0,-11429.68,-0.6163
3,current,9,8997.72,20422.3,500.0,-11924.57,-0.5839
