cluster,scenario,dropout_day,n_patients,avg_hba1c_at_dropout,avg_expected_hba1c_12mo,avg_severity_score,p_new_t2d_12mo_mean,p_uncontrolled_12mo_mean,n_pre_dm,n_t2d
0,early,30.0,1902,5.044,5.247,0.0929,0.025,,1902,0
0,median,78.0,1902,4.979,5.225,0.1729,0.025,,1902,0
0,late,150.0,1902,4.979,5.225,0.1904,0.025,,1902,0
1,early,30.0,2104,6.269,6.599,0.186,0.1322,0.5893,1541,563
1,median,106.0,2104,5.612,6.375,0.3596,0.1644,0.7829,1798,306
1,late,150.0,2104,5.612,6.375,0.3596,0.1644,0.7829,1798,306
2,early,30.0,2383,5.645,6.013,0.2128,0.0662,0.6441,2072,311
2,median,149.0,2383,5.268,5.859,0.431,0.0794,0.9129,2223,160
2,late,150.0,2383,5.268,5.859,0.431,0.0794,0.9129,2223,160
3,early,30.0,1177,6.187,6.425,0.142,0.1009,0.457,875,302
3,median,141.0,1177,5.605,6.227,0.2981,0.1452,0.5831,998,179
3,late,150.0,1177,5.605,6.227,0.2981,0.1452,0.5831,998,179
