cluster,scenario,dropout_day,month,avg_hba1c,avg_bmi,n_patients
0,early,30.0,0.0,5.0437,34.763,1902
0,early,30.0,3.0,5.2391,35.49,1902
0,early,30.0,6.0,5.2466,35.51,1902
0,early,30.0,9.0,5.2466,35.51,1902
0,early,30.0,12.0,5.2466,35.51,1902
0,median,78.0,0.0,4.9793,32.98,1902
0,median,78.0,3.0,5.1824,34.132,1902
0,median,78.0,6.0,5.2246,34.713,1902
0,median,78.0,9.0,5.2247,34.9,1902
0,median,78.0,12.0,5.2247,34.919,1902
0,late,150.0,0.0,4.9793,32.534,1902
0,late,150.0,3.0,5.1824,33.729,1902
0,late,150.0,6.0,5.2246,34.393,1902
0,late,150.0,9.0,5.2247,34.714,1902
0,late,150.0,12.0,5.2247,34.765,1902
1,early,30.0,0.0,6.269,32.559,2104
1,early,30.0,3.0,6.5689,33.266,2104
1,early,30.0,6.0,6.599,33.287,2104
1,early,30.0,9.0,6.599,33.287,2104
1,early,30.0,12.0,6.599,33.287,2104
1,median,106.0,0.0,5.6118,30.384,2104
1,median,106.0,3.0,5.9117,31.512,2104
1,median,106.0,6.0,6.1828,32.147,2104
1,median,106.0,9.0,6.3408,32.505,2104
1,median,106.0,12.0,6.3755,32.561,2104
1,late,150.0,0.0,5.6118,30.384,2104
1,late,150.0,3.0,5.9117,31.512,2104
1,late,150.0,6.0,6.1828,32.147,2104
1,late,150.0,9.0,6.3408,32.505,2104
1,late,150.0,12.0,6.3755,32.561,2104
2,early,30.0,0.0,5.6453,32.314,2383
2,early,30.0,3.0,5.9051,33.561,2383
2,early,30.0,6.0,6.0131,33.922,2383
2,early,30.0,9.0,6.0131,33.926,2383
2,early,30.0,12.0,6.0131,33.926,2383
2,median,149.0,0.0,5.2678,27.501,2383
2,median,149.0,3.0,5.5275,28.761,2383
2,median,149.0,6.0,5.7063,30.02,2383
2,median,149.0,9.0,5.8007,31.241,2383
2,median,149.0,12.0,5.8586,32.051,2383
2,late,150.0,0.0,5.2678,27.501,2383
2,late,150.0,3.0,5.5275,28.761,2383
2,late,150.0,6.0,5.7063,30.02,2383
2,late,150.0,9.0,5.8007,31.241,2383
2,late,150.0,12.0,5.8586,32.051,2383
3,early,30.0,0.0,6.1869,33.32,1177
3,early,30.0,3.0,6.4251,33.932,1177
3,early,30.0,6.0,6.4251,33.932,1177
3,early,30.0,9.0,6.4251,33.932,1177
3,early,30.0,12.0,6.4251,33.932,1177
3,median,141.0,0.0,5.605,31.494,1177
3,median,141.0,3.0,5.8989,32.753,1177
3,median,141.0,6.0,6.1548,33.31,1177
3,median,141.0,9.0,6.2273,33.329,1177
3,median,141.0,12.0,6.2273,33.329,1177
3,late,150.0,0.0,5.605,31.494,1177
3,late,150.0,3.0,5.8989,32.753,1177
3,late,150.0,6.0,6.1548,33.31,1177
3,late,150.0,9.0,6.2273,33.329,1177
3,late,150.0,12.0,6.2273,33.329,1177
